model,query_set,tag,bin_low,bin_high,n_detections,mean_confidence,fraction_correct
YOLO11s fine-tune,,baseline_a_pilot,0.0,0.1,2105,0.071,0.0276
YOLO11s fine-tune,,baseline_a_pilot,0.1,0.2,1775,0.1444,0.0518
YOLO11s fine-tune,,baseline_a_pilot,0.2,0.3,1012,0.2468,0.1166
YOLO11s fine-tune,,baseline_a_pilot,0.3,0.4,939,0.3508,0.2939
YOLO11s fine-tune,,baseline_a_pilot,0.4,0.5,1099,0.4537,0.5851
YOLO11s fine-tune,,baseline_a_pilot,0.5,0.6000000000000001,1717,0.5523,0.7676
YOLO11s fine-tune,,baseline_a_pilot,0.6000000000000001,0.7000000000000001,2233,0.6517,0.8607
YOLO11s fine-tune,,baseline_a_pilot,0.7000000000000001,0.8,1639,0.7443,0.9378
YOLO11s fine-tune,,baseline_a_pilot,0.8,0.9,1639,0.848,0.975
YOLO11s fine-tune,,baseline_a_pilot,0.9,1.0,75,0.9132,1.0
YOLO-World v2-s,canonical,baseline_b_canonical,0.0,0.1,1917,0.0715,0.1007
YOLO-World v2-s,canonical,baseline_b_canonical,0.1,0.2,1624,0.142,0.1755
YOLO-World v2-s,canonical,baseline_b_canonical,0.2,0.3,649,0.2447,0.2388
YOLO-World v2-s,canonical,baseline_b_canonical,0.3,0.4,330,0.3451,0.3667
YOLO-World v2-s,canonical,baseline_b_canonical,0.4,0.5,218,0.445,0.6193
YOLO-World v2-s,canonical,baseline_b_canonical,0.5,0.6000000000000001,174,0.5505,0.7069
YOLO-World v2-s,canonical,baseline_b_canonical,0.6000000000000001,0.7000000000000001,272,0.6548,0.9375
YOLO-World v2-s,canonical,baseline_b_canonical,0.7000000000000001,0.8,259,0.7425,0.9846
YOLO-World v2-s,canonical,baseline_b_canonical,0.8,0.9,114,0.8396,0.9035
YOLO-World v2-s,canonical,baseline_b_canonical,0.9,1.0,14,0.9216,0.2143
YOLO-World v2-s,attributed,baseline_b_attributed,0.0,0.1,4039,0.0709,0.0587
YOLO-World v2-s,attributed,baseline_b_attributed,0.1,0.2,3320,0.1431,0.0985
YOLO-World v2-s,attributed,baseline_b_attributed,0.2,0.3,1665,0.2471,0.1393
YOLO-World v2-s,attributed,baseline_b_attributed,0.3,0.4,1137,0.3495,0.1917
YOLO-World v2-s,attributed,baseline_b_attributed,0.4,0.5,937,0.4484,0.2134
YOLO-World v2-s,attributed,baseline_b_attributed,0.5,0.6000000000000001,857,0.5507,0.2812
YOLO-World v2-s,attributed,baseline_b_attributed,0.6000000000000001,0.7000000000000001,825,0.6487,0.3285
YOLO-World v2-s,attributed,baseline_b_attributed,0.7000000000000001,0.8,780,0.7499,0.3769
YOLO-World v2-s,attributed,baseline_b_attributed,0.8,0.9,805,0.8512,0.5615
YOLO-World v2-s,attributed,baseline_b_attributed,0.9,1.0,1133,0.9498,0.7917
