model,query_set,tag,size_band,error_type,fp_subtype,count,mean_confidence,mean_edge_px
YOLO11s fine-tune,,baseline_a_pilot,<16,FN,,150,,14.06
YOLO11s fine-tune,,baseline_a_pilot,<16,FP,background,9,0.3667,11.68
YOLO11s fine-tune,,baseline_a_pilot,<16,FP,class_confusion,1,0.3589,15.9
YOLO11s fine-tune,,baseline_a_pilot,<16,FP,localization,1,0.3839,14.6
YOLO11s fine-tune,,baseline_a_pilot,<16,FP,duplicate,4,0.3232,12.05
YOLO11s fine-tune,,baseline_a_pilot,<16,FP,ALL,15,0.3557,12.25
YOLO11s fine-tune,,baseline_a_pilot,16-32,FN,,1220,,23.99
YOLO11s fine-tune,,baseline_a_pilot,16-32,FP,background,90,0.3882,25.04
YOLO11s fine-tune,,baseline_a_pilot,16-32,FP,class_confusion,22,0.3768,26.39
YOLO11s fine-tune,,baseline_a_pilot,16-32,FP,localization,411,0.4099,27.52
YOLO11s fine-tune,,baseline_a_pilot,16-32,FP,duplicate,42,0.3223,27.7
YOLO11s fine-tune,,baseline_a_pilot,16-32,FP,ALL,565,0.3986,27.1
YOLO11s fine-tune,,baseline_a_pilot,32-64,FN,,640,,41.97
YOLO11s fine-tune,,baseline_a_pilot,32-64,FP,background,145,0.439,43.03
YOLO11s fine-tune,,baseline_a_pilot,32-64,FP,class_confusion,53,0.5433,43.52
YOLO11s fine-tune,,baseline_a_pilot,32-64,FP,localization,959,0.4804,43.71
YOLO11s fine-tune,,baseline_a_pilot,32-64,FP,duplicate,253,0.3367,43.5
YOLO11s fine-tune,,baseline_a_pilot,32-64,FP,ALL,1410,0.4527,43.59
YOLO11s fine-tune,,baseline_a_pilot,>64,FN,,185,,158.07
YOLO11s fine-tune,,baseline_a_pilot,>64,FP,background,33,0.5545,168.86
YOLO11s fine-tune,,baseline_a_pilot,>64,FP,class_confusion,61,0.6408,334.71
YOLO11s fine-tune,,baseline_a_pilot,>64,FP,localization,224,0.5458,124.34
YOLO11s fine-tune,,baseline_a_pilot,>64,FP,duplicate,65,0.378,161.47
YOLO11s fine-tune,,baseline_a_pilot,>64,FP,ALL,383,0.5332,167.98
YOLO-World v2-s,canonical,baseline_b_canonical,<16,FN,,182,,13.97
YOLO-World v2-s,canonical,baseline_b_canonical,<16,FP,background,0,,
YOLO-World v2-s,canonical,baseline_b_canonical,<16,FP,class_confusion,0,,
YOLO-World v2-s,canonical,baseline_b_canonical,<16,FP,localization,0,,
YOLO-World v2-s,canonical,baseline_b_canonical,<16,FP,duplicate,0,,
YOLO-World v2-s,canonical,baseline_b_canonical,<16,FP,ALL,0,,
YOLO-World v2-s,canonical,baseline_b_canonical,16-32,FN,,2780,,25.57
YOLO-World v2-s,canonical,baseline_b_canonical,16-32,FP,background,6,0.2952,28.52
YOLO-World v2-s,canonical,baseline_b_canonical,16-32,FP,class_confusion,56,0.3426,26.22
YOLO-World v2-s,canonical,baseline_b_canonical,16-32,FP,localization,1,0.4886,31.39
YOLO-World v2-s,canonical,baseline_b_canonical,16-32,FP,duplicate,0,,
YOLO-World v2-s,canonical,baseline_b_canonical,16-32,FP,ALL,63,0.3404,26.52
YOLO-World v2-s,canonical,baseline_b_canonical,32-64,FN,,3829,,43.61
YOLO-World v2-s,canonical,baseline_b_canonical,32-64,FP,background,57,0.3286,51.56
YOLO-World v2-s,canonical,baseline_b_canonical,32-64,FP,class_confusion,122,0.3365,44.5
YOLO-World v2-s,canonical,baseline_b_canonical,32-64,FP,localization,1,0.2611,37.69
